,problem_id,problem_code,assistment_id,problem_set_id,problem_set_type,problem_set_name,curriculum,grade_or_subject,unit,link,skill_codes,skill_names,problem_type,problem_body,attempts,correct_count,percent_correct,first_cwa,first_cwa_count,second_cwa,second_cwa_count,third_cwa,third_cwa_count,answer
1989,1155354.0,PRA5H97,782251.0,PSATUFW,,Problem 4.4: Pulling It All Together: Writing Equations for Linear Relationships,Textbook Curricula,Pearson (Prentice-Hall),CMP 3,https://app.assistments.org/find/lv/lesson/329166/493167,,,open_response,<p>Page 97 #C2</p>,,,,,,,,,,
159883,2009506.0,PRABSXP9,1390008.0,PSABS7MA,"Ready, Set, Go",Geo.4 Lesson 6 Yard Work in Segments (HSG-GPE.B.6),Open Up Resources,Geometry,Unit 4 - Similarity and Right Triangle Trigonometry,https://app.assistments.org/find/lv/lesson/361524/1397604,"HSG.GPE.B.6, HSS.MD.A.2","Calculate & Interpret the Expected Value of a Random Variable, Find the Point of a Line Segment using a Given Ratio",open_response,<p>Explain how the mean of the set compares to the values in the set.</p>,22.0,0.0,0.0,,,,,,,
467176,1899308.0,PRABQQU9,1323854.0,PSABMW7D,,8.1 Unit 2 Quiz (Lessons 15 to 18),JUMP Math,Grade 8,Part 1 Quizzes & Tests,https://app.assistments.org/find/lv/lesson/354223/1240561,8.EE.A.1-1,Know & Apply Product of Powers,fraction_reduced,"<p>b) 10<sup>&minus;2</sup> + 10<sup>&minus;1</sup>&nbsp;= _____</p>
<p>&nbsp;</p>
<p><span style=""font-size: 10pt;""><em>Use / for fractions. Example: <img class=""Wirisformula"" style=""max-width: none; vertical-align: -8px;"" src=""/pluginwiris_engine/app/showimage?formula=bf65f78f2313f35b4db89e5ea9ef2fde&amp;cw=14&amp;ch=25&amp;cb=17"" width=""14"" height=""25"" align=""middle"" data-mathml=""&laquo;math xmlns=&uml;http://www.w3.org/1998/Math/MathML&uml;&raquo;&laquo;mstyle mathsize=&uml;12px&uml;&raquo;&laquo;mfrac&raquo;&laquo;mn&raquo;1&laquo;/mn&raquo;&laquo;mn&raquo;2&laquo;/mn&raquo;&laquo;/mfrac&raquo;&laquo;/mstyle&raquo;&laquo;/math&raquo;"" />&nbsp;is 1/2.</em></span></p>
<!-- Attribution -->
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p style=""text-align: right;""><span style=""font-size: 10px;""><em>&nbsp;Copyright&nbsp;&copy;&nbsp;JUMP&nbsp;Math</em></span></p>",87.0,27.0,31.0,1/30,4.0,1/1000,4.0,1/110,4.0,11/100
191580,1368896.0,PRABBCRJ,955676.0,PSA2NY2,Problem Set,"Algebra II, M1, Lesson 24 (A.APR.D.6, A.APR.D.7)",EngageNY/Eureka Math (© by Great Minds®) *,Algebra II,"Module 1 - Polynomial, Rational, and Radical Relationships",https://app.assistments.org/find/lv/lesson/357915/696438,HSA.APR.D.7,"Add, Subtract, Mulitply & Divide Rational Expressions",algebra,"<p><img src=""/images/assistments/104104.jpg"" alt="""" /></p>",122.0,99.0,81.1,x-3,2.0,3x+1,2.0,x+3,1.0,2x-1
351519,2060210.0,PRABTTDA,1415646.0,PSABVPJ3,Practice Problems (Section C),4.7 Section C Practice Problems: Angle Analysis,Open Up Resources,Grade 4,Unit 7 - Angles and Angle Measurement,https://app.assistments.org/find/lv/lesson/366604/1471563,4.MD.C.5a,Apply Knowledge of Angles Measured within Circles,numeric,"<p>How many degrees does the minute hand turn in the following time?</p>
<p>&nbsp;</p>
<p>80&nbsp;minutes</p>
<p>&nbsp;</p>
<p>Do not include units (degrees or &deg;) in your answer.</p>",,,,,,,,,,480
461660,1506760.0,PRABETQS,1058479.0,PSA6U8F,Practice Problems,7.4 Lesson 14: Percent Error (7.RP.A.3),Open Up Resources,Grade 7,Unit 4 - Proportional Relationships and Percentages,https://app.assistments.org/find/lv/lesson/355485/821598,7.RP.A.3,Use Proportional Relationships to Solve Ratio & Percent Problems,numeric,"<p>A student estimated that it would take 3 hours to write a book report, but it actually took her 5 hours. What is the percent error for her estimate?</p>
<p>&nbsp;</p>
<p><span style=""font-weight: 400;"">Do not include the percent sign (%) in your answer.</span></p>",8051.0,3255.0,40.4,60,1320.0,2,1206.0,66,1107.0,40
207979,1507691.0,PRABEUBB,1059054.0,PSABHWNR,Practice Problems,7.6 Lesson 6 Distinguishing between Two Types of Situations (7.EE.B.3),Kendall Hunt Illustrative Mathematics,Grade 7,"Unit 6 - Expressions, Equations, and Inequalities",https://app.assistments.org/find/lv/lesson/350909/1150672,7.EE.B.3-2,Calculate Applied Problems by Converting Form,choose_1,<p>Elena spends&nbsp;$17 and buys a&nbsp;$3 book and a bookmark for each of her 5 cousins. How much does each bookmark cost?</p>,12368.0,8614.0,69.6,3x+5=17,6981.0,3(x+5)=17,3423.0,A. 3(x+5)=17,60.0,"5(x+3)=17, 5x+3=17"
56702,1987786.0,PRABSHJH,1377368.0,PSABSZTV,Practice Problems (Section A),4.5 Section A Practice Problems: Multiplicative Comparison,Kendall Hunt Illustrative Mathematics,Grade 4,Unit 5 - Multiplicative Comparison and Measurement ,https://app.assistments.org/find/lv/lesson/360710/1392042,4.NF.B.3c-1,Add Mixed Numbers with Like Denominators,numeric,"<p>Find the value of&nbsp;the&nbsp;expression.</p>
<p>&nbsp;</p>
<p><img id=""mce_1"" class=""Wirisformula"" style=""max-width: none; vertical-align: -12px;"" src=""/pluginwiris_engine/app/showimage?formula=10e2c032367c182e12083b3acc6768a5&amp;cw=89&amp;ch=35&amp;cb=23"" width=""89"" height=""35"" align=""middle"" data-mathml=""&laquo;math xmlns=&uml;http://www.w3.org/1998/Math/MathML&uml;&raquo;&laquo;mn&raquo;2&laquo;/mn&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mfrac&raquo;&laquo;mn&raquo;1&laquo;/mn&raquo;&laquo;mn&raquo;6&laquo;/mn&raquo;&laquo;/mfrac&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mo&raquo;+&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mn&raquo;1&laquo;/mn&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mfrac&raquo;&laquo;mn&raquo;5&laquo;/mn&raquo;&laquo;mn&raquo;6&laquo;/mn&raquo;&laquo;/mfrac&raquo;&laquo;/math&raquo;"" /></p>",74.0,52.0,70.3,3,84.0,2/6,48.0,3 6/6,24.0,4
124737,962946.0,PRAYQM8,638443.0,PSANKPU,,10.2 Product of Powers Property,Textbook Curricula,Big Ideas Learning,Grade 8: Blue (2014),https://app.assistments.org/find/lv/lesson/328649/336739,,,old_algebra,"<p>Page 421 #29a</p>
<p>Write your answer in terms of pi</p>
<p>Do not include units (in.<sup>3</sup>) in your answer.</p>",35.0,13.0,37.1,15pi,1.0,4/3pi,1.0,,,16pi
157813,2003870.0,PRABSUZT,1387421.0,PSABS6QS,Practice Problems (Section A),2.6 Section A Practice Problems: Attributes of Shapes,Kendall Hunt Illustrative Mathematics,Grade 2,"Unit 6 - Geometry, Time, and Money",https://app.assistments.org/find/lv/lesson/360931/1396751,2.G.A.3,Partition Circles and Rectangles Into Equal Fractional Shares,open_response,"<p>Split the rectangle into 4 equal parts.</p>
<p>&nbsp;</p>
<p><img src=""/images/assistments/474959.jpg"" alt="""" width=""238"" height=""134"" /></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>Submit your&nbsp;drawing using the tools below.</p>",,,,,,,,,,
109687,1537024.0,PRABFJUM,1080701.0,PSA725C,,"Section 7.3 Sample Problems (8.NS.1, 8.NS.2, 8.EE.2)",The Utah Middle School Math Project,Grade 8,Chapter 7: Rational and Irrational Numbers,https://app.assistments.org/find/lv/lesson/329740/857059,8.NS.A.2-1,Approximate Square Roots,numeric,"<p>Approximate the value of the following expression.</p>
<p>&nbsp;</p>
<p><img class=""Wirisformula"" src=""/pluginwiris_engine/app/showimage?formula=1ee0c7c06bd0b3b02cb38265b074476e"" align=""middle"" data-mathml=""&laquo;math xmlns=&uml;http://www.w3.org/1998/Math/MathML&uml;&raquo;&laquo;mn&raquo;3&laquo;/mn&raquo;&laquo;mi mathvariant=&uml;normal&uml;&raquo;&sect;#960;&laquo;/mi&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mi&raquo;i&laquo;/mi&raquo;&laquo;mi&raquo;f&laquo;/mi&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mi mathvariant=&uml;normal&uml;&raquo;&sect;#960;&laquo;/mi&raquo;&laquo;mo&raquo;&sect;#8776;&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mn&raquo;3&laquo;/mn&raquo;&laquo;mo&raquo;.&laquo;/mo&raquo;&laquo;mn&raquo;14&laquo;/mn&raquo;&laquo;/math&raquo;"" /></p>
<p><span style=""font-size: 8pt;""><strong>The Utah Middle School Math Project</strong></span></p>",52.0,36.0,69.2,9.86,3.0,6.24,1.0,942,1.0,9.42
88377,1113597.0,PRA4JV7,753049.0,PSAR7UN,,It's in the System Investigation 1 ACE,Textbook Curricula,Pearson (Prentice-Hall),CMP 3,https://app.assistments.org/find/lv/lesson/329183/444520,,,old_algebra,"<p>Page 15 #15</p>
<p>y = ?</p>",98.0,51.0,52.0,-2x-5,7.0,2x-5,6.0,-5+2x,2.0,-2x+5
236931,1033661.0,PRA2F7N,690877.0,PSAPPNC,,7.8 Factoring ax^2+bx+c,Textbook Curricula,Big Ideas Learning,HS: Purple Algebra I (2014),https://app.assistments.org/find/lv/lesson/328664/369367,,,old_algebra,"<p>Page 381 #35b</p>
<p>How much should the vendor charge...?</p>
<p>(Do not include units '$')</p>",,,,,,,,,,30
387205,1053939.0,PRA2VS9,702986.0,PSAPSKV,,Thinking With Mathematical Models Investigation 1 ACE,Textbook Curricula,Pearson (Prentice-Hall),CMP 3,https://app.assistments.org/find/lv/lesson/329192/372204,,,old_algebra,"<p>Carpet length for 4 steps:</p>
<p>Do NOT include units in your final answer.</p>",34.0,27.0,79.4,21,4.0,23,2.0,25,1.0,22
129362,1014625.0,PRAZY3M,676337.0,PSAPMUS,,Shapes and Designs Investigation 1 ACE,Textbook Curricula,Pearson (Prentice-Hall),CMP 3,https://app.assistments.org/find/lv/lesson/329171/367644,,,choose_1,"<p>Page 35 #59</p>
<p>How many of the shape can be drawn?</p>",,,,,,,,,,More than one
274811,2003619.0,PRABSUV9,1387311.0,PSABVKFB,Practice Problems (Section A),2.2 Section A Practice Problems: Add and Subtract,Open Up Resources,Grade 2,Unit 2 - Adding and Subtracting Within 100,https://app.assistments.org/find/lv/lesson/365912/1468564,2.NBT.B.5,Add & Subtract Within 100 Using Place Value Strategies,open_response,<p>What other addition equations could Tyler&rsquo;s cubes show?</p>,1.0,0.0,0.0,,,,,,,
266430,1007065.0,PRAZTJ4,671051.0,PSAPMCY,,5.2 Proportions,Textbook Curricula,Big Ideas Learning,Grade 7: Red (2014),https://app.assistments.org/find/lv/lesson/328634/367185,,,choose_1,<p>Page 174 #10</p>,807.0,724.0,89.7,yes,81.0,,,,,no
336600,2007912.0,PRABSWX7,1389293.0,PSABS7E4,Tasks,"Alg1.7 Lesson 8 The Wow Factor (HSA-APR.C.4, HSA-SSE.B.3, HSA-SSE.B.3.a, HSF-IF.C.8.a)",Open Up Resources,Algebra 1,Unit 7 - Structures of Quadratic Expressions,https://app.assistments.org/find/lv/lesson/361675/1397443,HSA.SSE.B.3a,Factor a Quadratic Expression to Find Zeros,algebra,<p>A(x) = __________ (factored form)</p>,,,,,,,,,,"(2x+1)(2x+3), (2x+3)(2x+1)"
393516,1814493.0,PRABN3WT,1274891.0,PSABEPP4,,Algebra 2 Released Exam Questions - August 2018,Released State Practice Tests,New York,Algebra II NYSTP,https://app.assistments.org/find/lv/lesson/333976/1054614,HSS.IC.B.6,Evaluate Reports Based on Data,open_response,"<p>To determine if the type of music played while taking a quiz has a relationship to results, 16 students were randomly assigned to either a room softly playing classical music or a room softly playing rap music. The results on the quiz were as follows:</p>
<p style=""text-align: center;"">Classical: 74, 83, 77, 77, 84, 82, 90, 89<br />Rap: 77, 80, 78, 74, 69, 72, 78, 69</p>
<p>John correctly rounded the difference of the means of his experimental groups as 7. How did John obtain this value and what does it represent in the given context? Justify your answer.</p>",,,,,,,,,,
18770,1198673.0,PRA6R4W,818605.0,PSAVTWH,Problem Set,"3.3 Lesson 12 (3.OA.A.3,3.OA.A.4, 3.OA.B.5)",EngageNY/Eureka Math (© by Great Minds®) *,Grade 3,"Module 3 - Multiplication and Division with Units of 0, 1, 6-9, and Multiples of 10",https://app.assistments.org/find/lv/lesson/357147/552210,3.OA.B.5,Apply Properties of Operations To Multiply & Divide,numeric,"<p><img src=""/images/assistments/60639.jpg"" alt="""" width=""297"" height=""294"" /></p>
<p><img src=""/images/assistments/54883.jpg"" alt="""" width=""70"" height=""27"" /></p>
<p><span style=""font-size: 8.5pt; font-family: 'Verdana','sans-serif'; color: black;"">What is the solution to the problem circled in red?</span></p>",2532.0,1884.0,74.4,5,183.0,3,131.0,45,63.0,4
14144,1494823.0,PRABEGYH,1049109.0,PSA6EJA,,Module 13 Are You Ready?,Textbook Curricula,Houghton-Mifflin-Harcourt,Go Math Middle School,https://app.assistments.org/find/lv/lesson/328964/808449,,,numeric,"<p>Write the fraction as a percent.</p>
<p>&nbsp;</p>
<p><span style=""font-weight: 400;"">Do not include the percent sign (%) in your answer.</span></p>",,,,,,,,,,87.5
358282,1095854.0,PRA33HH,738272.0,PSAQ73F,,Moving Straight Ahead Investigation 2 ACE,Textbook Curricula,Pearson (Prentice-Hall),CMP 3,https://app.assistments.org/find/lv/lesson/329165/414940,,,old_algebra,"<p>Page 42 #8a</p>
<p>How many brochures?</p>",43.0,21.0,48.8,25,2.0,16.5,1.0,17,1.0,100
424774,820477.0,PRAU8MT,534642.0,PSAH5QS,,4.1 Graphing Linear Equations,Textbook Curricula,Big Ideas Learning,Grade 8: Blue (2014),https://app.assistments.org/find/lv/lesson/328655/233941,,,old_algebra,<p>Page 147 #24b</p>,,,,,,,,,,6
173090,1941176.0,PRABRGCF,1346428.0,PSABQ2DA,Sprint (B),1.3 Lesson 1 (1.MD.1),EngageNY/Eureka Math (© by Great Minds®) *,Grade 1,Fluency Support,https://app.assistments.org/find/lv/lesson/364451/1333000,1.OA.C.6,Add & Subtract Within 20 Using Multiple Strategies,numeric,"<p>Write the missing number.</p>
<p>&nbsp;</p>
<p>18 - 10 = __</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p><img id=""mce_1"" src=""/images/assistments/456780.jpg"" width=""51"" height=""20"" /></p>
<p style=""font-size: 10px; text-align: right;"">Modified from <a href=""https://www.engageny.org/"" target=""_blank"" rel=""noopener noreferrer"">EngageNY</a> &copy;Great Minds <a href=""https://new.assistments.org/curricula/great-minds"" target=""_blank"" rel=""noopener noreferrer"">Disclaimer</a></p>",1.0,1.0,100.0,,,,,,,8
325267,1613165.0,PRABHCNB,1134322.0,PSA9KHM,Student Facing Tasks,"6.7 Lesson 14: Distances on a Coordinate Plane (6.NS.C.6, 6.NS.C.6.b, 6.NS.C.8)",Open Up Resources,Grade 6,Unit 7 - Rational Numbers,https://app.assistments.org/find/lv/lesson/355159/902606,6.NS.C.8,Solve Real-World Problems by Graphing on a Coordinate Plane,numeric,<p>ii) What goes in blank B?</p>,465.0,226.0,48.6,2,58.0,3.5,42.0,-4.5,30.0,4.5
452905,2003965.0,PRABSU2X,1387456.0,PSABVM8Z,Practice Problems (Section D),2.6 Section D Practice Problems: The Value of Money,Open Up Resources,Grade 2,"Unit 6 - Geometry, Time, and Money",https://app.assistments.org/find/lv/lesson/366286/1470290,2.MD.C.8,Solve Word Problems Involving Money,numeric,<p>How many pennies are shown in the picture?</p>,,,,,,,,,,2
295095,79920.0,PRABSBF,44242.0,PSAGZU,,(8.G.B.7) Pythagorean Theorem - Finding a Missing Leg Skill Builder,Skill Builders,Grade 8,(G) Geometry ,https://app.assistments.org/find/lv/lesson/328750/6465,8.G.B.7,Apply the Pythagorean Theorem to 2D & 3D FIgures,numeric,"<p>What is the length of side x<em>&nbsp;</em>in the&nbsp;right triangle below?</p>
<p><img src=""/images/assistments/507878.jpg"" alt="""" width=""345"" height=""191"" /></p>",379.0,217.0,57.3,5,24.0,5.8,17.0,5.83,15.0,4
207673,1543544.0,PRABFQG7,1085183.0,PSA785V,,Grade 8 Mathematics Released State Test 2016,Released State Practice Tests,Massachusetts,Grade 8 MCAS,https://app.assistments.org/find/lv/lesson/328770/862841,8.G.A.3-2,Describe Reflections Using Coordinates,choose_1,"<p>&nbsp;</p>
<p>Quadrilateral&nbsp;<em>JKLM&nbsp;</em>is shown on the coordinate grid below.</p>
<p><img src=""/images/assistments/169845.jpg"" alt="""" width=""307"" height=""300"" /></p>
<p>Quadrilateral&nbsp;<em>JKLM</em> will be reflected over the x-axis to create its image, quadrilateral&nbsp;<img src=""/images/assistments/169843.jpg"" alt="""" width=""61"" height=""19"" />.&nbsp;What will be the x-coordinate of the vertex K<sup>l</sup>?</p>",424.0,188.0,44.3,B. -7,106.0,A. -8,89.0,C. 7,36.0,D. 8
422598,1428494.0,PRABCYCN,1003357.0,PSA4WKJ,,12-1 Circles and Circumference,Textbook Curricula,Glencoe McGraw-Hill,Grade 7: Accelerated (2014),https://app.assistments.org/find/lv/lesson/328881/763321,,,numeric,"<p>Page 560 #13</p>
<p>&nbsp;</p>
<p>Do not include units(meters).</p>",79.0,73.0,92.4,38.9,2.0,88.4,1.0,29.6,1.0,29.5
59038,2096254.0,PRABUGK4,1436038.0,PSABWRTZ,Cool Down Spanish,"6.2 Lesson 12 Navigating a Table of Equivalent Ratios (6.RP.A.3, 6.RP.A.3.a) - Spanish",Kendall Hunt Illustrative Mathematics,Grade 6,Unit 2 - Introducing Ratios,https://app.assistments.org/find/lv/lesson/351058/1503522,6.RP.A.3a,Create Tables to Compare Equivalent Ratios,numeric,"<p>Una tienda vende una docena de bagels por $5. Puedes usar la tabla para contestar las preguntas.&nbsp;</p>
<p>&nbsp;</p>
<p><img src=""/images/assistments/509104.jpg"" width=""400"" height=""283"" /></p>
<p>A esta tasa, &iquest;cu&aacute;nto costar&iacute;an 6 <em>bagels</em>?</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p><span style=""font-weight: 400;"">No incluyas unidades ($) en tu respuesta.</span></p>",,,,,,,,,,"2.5, 2.50"
1352,1125657.0,PRA4VP9,762475.0,PSASRGR,,9.5 Measures of Variation,Textbook Curricula,Glencoe McGraw-Hill,Grade 8: Course 3 (2013),https://app.assistments.org/find/lv/lesson/328871/460519,,,open_response,"<p>Page 713 #1</p>
<p>Describe what your answer means.</p>",,,,,,,,,,
137964,1745008.0,PRABE59C,1068603.0,PSA7BX6,,"10.3c Extension: Construction (8.G.5, 8.G.6, 8.G.7, 8.G.8)",The Utah Middle School Math Project,Grade 8,Chapter 10: Geometry II - Angles and Triangles,https://app.assistments.org/find/lv/lesson/329942/835756,8.G.B.7,Apply the Pythagorean Theorem to 2D & 3D FIgures,numeric,"<p><strong></strong>What is the length of <em>AB</em>?</p>
<p>Round answer to one decimal.&nbsp; Do not include units in your answer.</p>",,,,,,,,,,4.6
126376,536099.0,PRAM8F9,325964.0,PSABZTT,,3-1 Graphing Linear Equations,Textbook Curricula,Glencoe McGraw-Hill,"HS: Algebra I (2012,2014)",https://app.assistments.org/find/lv/lesson/328841/51445,6.EE.A.2c-1,Evaluate Algebraic Expressions using Substitution,old_algebra,Page 162 #76,17.0,11.0,64.7,5.51,2.0,5.5,2.0,10.3,1.0,5 25/49
14147,1853802.0,PRABPTJZ,1296659.0,PSABHV3P,Student Facing Tasks,8.5 Lesson 20 The Volume of a Sphere (8.G.C),Kendall Hunt Illustrative Mathematics,Grade 8,Unit 5 - Functions and Volume,https://app.assistments.org/find/lv/lesson/350143/1150112,8.G.C.9-2,Find the Volume of Spheres,open_response,<p>Explain your reasoning.</p>,288.0,0.0,0.0,,,,,,,
16635,1385939.0,PRABBUGK,969844.0,PSA22KV,,"6.1 - Ratio, Proportion, and Probability",Textbook Curricula,Holt McDougal Littell,Pre-Algebra (2012),https://app.assistments.org/find/lv/lesson/328957/707593,,,rank,<p>Page 278 #20</p>,15.0,8.0,53.3,"1/2 , 6:10 , 7:11 , 8:12 , 7:4",3.0,"1/2 , 7:4 , 6:10 , 7:11 , 8:12",1.0,"1/2 , 8:12 , 7:11 , 6:10 , 7:4",1.0,"1/2, 6:10, 7:11, 7:4, 8:12"
